Object Name,Attributes,Library Name,Category,Feature Option
dbgprint.obj,(+RO),peripheral.lib,Interrupt Disabled,
icc_switchControl0_mt6306.obj,(+RO),mt6306.lib,Interrupt Disabled,
icc_switchControl_mtk_0.obj,(+RO),sim_driver.lib,Interrupt Disabled,
icc_switchControl0.obj,(+RO),sim_driver.lib,Interrupt Disabled,
icc_switchControl1.obj,(+RO),sim_driver.lib,Interrupt Disabled,
icc_switchControl_mtk_1.obj,(+RO),sim_driver.lib,Interrupt Disabled,
nvram_pseudo_merge.obj,(+RO),nvram.lib,Interrupt Disabled,
wndrv_configure.obj,(+RO),custom.lib,Interrupt Disabled,
jpeg_drv_enc_6250_series.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
jpeg_drv_init_6250_series.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
jpeg_encode_int_hw.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
drv_gfx_dct_control.obj,(+RO),gfx_drv.lib,Interrupt Disabled,
screenrotation.obj,(+RO),mmi_framework.lib,Interrupt Disabled,
ui_buffer.obj,(+RO),gdi.lib,Interrupt Disabled,
lzma_dispatcher.obj,(+RO),sys_sec.lib,Interrupt Disabled,
hwlzma.obj,(+RO),sys_sec.lib,Interrupt Disabled,
hif_v2.obj,(+RO),peripheral.lib,Interrupt Disabled,
va2_comp_video_renderer.obj,(+RO),video.lib,Interrupt Disabled,
va2_util_buffer_header_queue.obj,(+RO),video.lib,Interrupt Disabled,
va2_util_misc.obj,(+RO),video.lib,Interrupt Disabled,
custom_vrender.obj,(+RO),custom.lib,Interrupt Disabled,
va2_video_renderer_vp_mt6252.obj,(+RO),video.lib,Interrupt Disabled,
idp_scen_vp_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
idp_scen_common_mt6252.obj,(+RO),drv_idp.lib,Interrupt Disabled,
